record.license_url	count
https://creativecommons.org/licenses/by-nc-sa/3.0/	1
http://creativecommons.org/licenses/by-sa/1.0/fi/	1
https://www.bclaws.gov.bc.ca/standards/Licence.html	1
https://creativecommons.org/licenses/by-sa/3.0/nz/	1
http://www.opensource.org/licenses/AGPL-3.0	1
http://www.opensource.org/licenses/APL-1.0	1
http://www.opensource.org/licenses/RPL-1.5	1
https://creativecommons.org/licenses/by-nc-sa/2.5/au/	1
https://beta.oireachtas.ie/en/open-data/license/	1
http://noe.gv.at/noe/Open-Government-Data/Nutzungsbedingungen.html	1
https://creativecommons.org/licenses/by/4.0/deed.de 	1
https://wasser.bgld.gv.at/footer/socket/impressum.html	1
https://creativecommons.org/licenses/by-nc/4.0/deed.de	1
opendefinition.org/licenses/cc-by-40	1
http://www.ontario.ca/government/ontario-open-data-terms-use	1
https://www.ontario.ca/laws/statute/96p01a	1
https://www.statcan.gc.ca/eng/reference/licence-eng	1
http://creativecommons.org/licenses/by-sa/3.0/deed	1
https://opendefinition.org/licenses/odc-odbl/	1
https://www.donneesquebec.ca/fr/licence/#cc-by-nc-nd	1
https://opendefinition.org/licenses/odc-pddl	1
http://opingogn.is/stadfangaskra-skilmalar.html	1
https://commission.europa.eu/content/european-union-public-licence_en	1
https://korpus.dsl.dk/resources/licences/dsl-restricted.html	1
https://www.gnu.org/licenses/gpl-3.0.html	1
http://creativecommons.org/licenses/by-nd/4.0/	1
http://opendatacommons.org/licenses/by/summary/	1
https://opendatacommons.org/licenses/odbl/index.html	1
https://creativecommons.org/licenses/by-nd/3.0/	2
https://tccon-wiki.caltech.edu/Main/DataLicense	2
http://www.hri.fi/lisenssit	2
https://opendatacommons.org/licenses/pddl/1-0/	2
https://info.bcassessment.ca/pages/opengovernmentlicencebcassessment.aspx	2
http://www.opensource.org/licenses/Fair	2
http://www.opensource.org/licenses/Apache-1.1	2
http://www.opensource.org/licenses/LGPL-3.0	2
https://opendefinition.org/licenses/gfdl	2
http://www.oecd.org/termsandconditions/	2
https://creativecommons.org/publicdomain/zero/1.0/deed.de	2
https://creativecommons.org/licenses/by/4.0/at/deed.de	2
https://creativecommons.org/licenses/by/3.0/at/legalcode 	2
http://www.ecad.eu/documents/ECAD_datapolicy.pdf	2
http://creativecommons.org/licenses/by-sa/4.0	2
https://creativecommons.org/licenses/by/3.0/it/	2
https://www.donneesquebec.ca/fr/licence/#cc-by-nd	2
https://www.donneesquebec.ca/fr/licence/#CC-BY-SA-NC-4.0	2
http://lobbycanada.gc.ca/eic/site/012.nsf/eng/00873.html	2
http://opingogn.is/fjarsysla-opingogn-leyfisskilmalar.html	2
https://www.ft.dk/da/aktuelt/tv-fra-folketinget/deling-og-rettigheder	2
https://www.ft.dk/da/dokumenter/aabne_data#290AB29F56C54AC88474BC53393A3AE0	2
https://www.gnu.org/licenses/old-licenses/gpl-2.0.html	2
http://creativecommons.org/licenses/by-nc/4.0/	2
https://opendefinition.org/licenses/odc-by	3
https://www.destinationbc.ca/content/uploads/2019/04/OGL-DestinationBC.pdf	3
http://www.opensource.org/licenses/BSD-3-Clause	3
https://www.met.ie/cms/assets/uploads/2018/05/Met-%C3%89ireann-Open-Data-Custom-Licence_Final.odt	3
https://data.gov.ie/psi	3
https://www.gnu.org/licenses/gpl-3.0.en.html	3
http://opendefinition.org/licenses/cc-zero/	3
http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada	3
https://www.donneesquebec.ca/fr/licence/#cc-0	3
https://creativecommons.org/licenses/by-sa/3.0/de/	3
http://www.gesetze-im-internet.de/urhg/__5.html	3
https://opendatacommons.org/licenses/by/	3
https://opendata.gov.je/pages/open-states-assembly-licence-jersey-osal-j-v1-0	3
https://creativecommons.org/licenses/by-nc/3.0/nz/	4
https://www.apache.org/licenses/LICENSE-2.0	4
https://creativecommons.org/licenses/by-nc/2.0/au/	4
http://creativecommons.org/licenses/by-nc/4.0	4
http://creativecommons.org/licenses/by-nd/3.0/nz	4
https://creativecommons.org/licenses/by/4.0/deed.no	4
https://creativecommons.org/licenses/by/4.0/legalcode.de	4
http://www.govdata.de/dl-de/zero-2-0	4
https://creativecommons.org/licenses/by/2.5/au/	5
https://itabc.ca/sites/default/files/docs/ITA_Open_Government_Licence_Final.pdf	5
https://www.icbc.com/policies/Pages/open-data-licence.aspx	5
http://www.opensource.org/licenses/Apache-2.0	5
https://creativecommons.org/licenses/by-nc-nd/3.0/au/	5
http://creativecommons.org/licenses/by-nc-nd/3.0/nz	5
https://creativecommons.org/licenses/by-sa/3.0/at/deed.en	5
https://mit-license.org	5
https://artefacts.ceda.ac.uk/licences/specific_licences/esacci_permafrost_terms_and_conditions.pdf	6
https://creativecommons.org/licenses/by-sa/3.0/igo	6
https://creativecommons.org/licenses/by-nc-nd/3.0/nz/	7
https://www.donneesquebec.ca/fr/licence/#CC-BY-SA-4.0	7
http://creativecommons.org/publicdomain/mark/1.0/	8
https://creativecommons.org/licenses/by-sa/3.0/au/	8
http://creativecommons.org/licenses/by-nc-sa/4.0	8
https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1	8
http://www.opensource.org/licenses/GPL-3.0	9
http://data.gc.ca/eng/open-government-licence-canada	9
https://korpus.dsl.dk/resources/licences/dsl-open.html	9
http://creativecommons.org/licenses/by-sa/3.0/au/	10
https://opendefinition.org/licenses/cc-zero/	10
https://opendatacommons.org/licenses/pddl/	10
https://creativecommons.org/licenses/by-nc/4.0/legalcode	10
https://opensource.org/licenses/MIT	10
http://www.geologyontario.mndm.gov.on.ca/terms_of_use.html	11
https://www.translink.ca/-/media/translink/documents/plans-and-projects/managing-the-transit-network/tspr/open-government-license-translink-tspr.pdf	12
http://www.opensource.org/licenses/MIT	12
https://creativecommons.org/licenses/by-nd/4.0/deed.ja	12
https://creativecommons.org/licenses/by-nc-sa/4.0	12
unknown	12
http://www.dati.gov.it/iodl/2.0/	12
https://www.northcowichan.ca/EN/footer/open-data-licence.html	13
https://creativecommons.org/licenses/by-sa/4.0	14
https://www.donneesquebec.ca/fr/licence/#CC-BY-NC-4.0	14
http://www.apache.org/licenses/LICENSE-2.0	14
https://www.elections.bc.ca/docs/EBC-Open-Data-Licence.pdf	15
https://www.eumetsat.int/eumetsat-data-licensing	15
http://creativecommons.org/licenses/by/4.0/deed.es	16
http://creativecommons.org/licenses/by-nd/3.0/	19
https://www.ontario.ca/page/terms-use	19
http://creativecommons.org/licenses/by-nc-nd/4.0	19
https://creativecommons.org/licenses/by-nc/3.0/au/	20
https://creativecommons.org/licenses/by-nd/4.0/	21
https://opendata.sitcan.es/notice	21
https://www.nvbw.de/aufgaben/digitale-mobilitaet/fahrplandaten/	22
